"Fecha,""Codigo"",""Concepto"",""Tipo"",""Documento"",""Oficina"",""Monto"",""Saldo"""
"31/05/2019,""001045"",""46062228-CAPREMCI-CB-"",""C"",""0035542179"",""SERVICIOS CENTRALE(S)"",""57.19"",""85,142.91"""
"31/05/2019,""001045"",""46062200-CAPREMCI-CB-"",""C"",""0035542072"",""SERVICIOS CENTRALE(S)"",""776.00"",""85,085.72"""
"31/05/2019,""001045"",""46062181-CAPREMCI-CB-"",""C"",""0035541889"",""SERVICIOS CENTRALE(S)"",""705.41"",""84,309.72"""
"31/05/2019,""001045"",""46062156-CAPREMCI-CB-"",""C"",""0035541774"",""SERVICIOS CENTRALE(S)"",""2,595.31"",""83,604.31"""
"31/05/2019,""001045"",""46062141-CAPREMCI-CB-"",""C"",""0035541683"",""SERVICIOS CENTRALE(S)"",""4,427.43"",""81,009.00"""
"31/05/2019,""001045"",""45879810-CAPREMCI-CB-"",""C"",""0035524020"",""SERVICIOS CENTRALE(S)"",""458.58"",""76,581.57"""
"31/05/2019,""001055"",""46063372-CAPREMCI-PT-cesantias 29052"",""D"",""0007146654"",""AG. NORTE"",""6,023.70"",""76,122.99"""
"31/05/2019,""001055"",""46063249-CAPREMCI-PT-cafetera of qui"",""D"",""0007146412"",""AG. NORTE"",""104.53"",""82,146.69"""
"31/05/2019,""001055"",""46043645-COSTO IVA  CASH-PT-179170037600"",""D"",""0000692150"",""SERVICIOS CENTRALE(S)"",""0.13"",""82,251.22"""
"31/05/2019,""001055"",""46043645-COSTO OPER CASH-PT-179170037600"",""D"",""0000692123"",""SERVICIOS CENTRALE(S)"",""1.07"",""82,251.35"""
"31/05/2019,""001055"",""46041983-COSTO IVA  CASH-PT-179170037600"",""D"",""0000692083"",""SERVICIOS CENTRALE(S)"",""0.04"",""82,252.42"""
"31/05/2019,""001055"",""46041983-COSTO OPER CASH-PT-179170037600"",""D"",""0000692064"",""SERVICIOS CENTRALE(S)"",""0.36"",""82,252.46"""
"31/05/2019,""001055"",""46035032-COSTO IVA  CASH-PT-179170037600"",""D"",""0000692046"",""SERVICIOS CENTRALE(S)"",""0.04"",""82,252.82"""
"31/05/2019,""001055"",""46035032-COSTO OPER CASH-PT-179170037600"",""D"",""0000692037"",""SERVICIOS CENTRALE(S)"",""0.36"",""82,252.86"""
"31/05/2019,""001055"",""45879810-COSTO IVA  CASH-CB-179170037600"",""D"",""0000692005"",""SERVICIOS CENTRALE(S)"",""0.05"",""82,253.22"""
"31/05/2019,""001055"",""45879810-COSTO OPER CASH-CB-179170037600"",""D"",""0000691955"",""SERVICIOS CENTRALE(S)"",""0.45"",""82,253.27"""
"31/05/2019,""001055"",""45879810-COSTO IVA  CASH-CB-179170037600"",""D"",""0000691851"",""SERVICIOS CENTRALE(S)"",""4.18"",""82,253.72"""
"31/05/2019,""001055"",""45879810-COSTO OPER CASH-CB-179170037600"",""D"",""0000691811"",""SERVICIOS CENTRALE(S)"",""34.82"",""82,257.90"""
"30/05/2019,""001045"",""45879810-CAPREMCI-CB-"",""C"",""0031105746"",""SERVICIOS CENTRALE(S)"",""0.50"",""82,292.72"""
"30/05/2019,""001055"",""46043645-CAPREMCI-PT-creditos gye 30"",""D"",""0011577059"",""AG. NORTE"",""7,152.17"",""82,292.22"""
"30/05/2019,""001055"",""46041983-CAPREMCI-PT-fxliquidar disp"",""D"",""0011576747"",""AG. NORTE"",""170.00"",""89,444.39"""
"30/05/2019,""001055"",""46035032-CAPREMCI-PT-creditos 290520"",""D"",""0002879875"",""AG. NORTE"",""6,975.50"",""89,614.39"""
"30/05/2019,""001055"",""46010805-COSTO IVA  CASH-PT-179170037600"",""D"",""0000866971"",""SERVICIOS CENTRALE(S)"",""0.04"",""96,589.89"""
"30/05/2019,""001055"",""46010805-COSTO OPER CASH-PT-179170037600"",""D"",""0000866960"",""SERVICIOS CENTRALE(S)"",""0.36"",""96,589.93"""
"30/05/2019,""001055"",""46010796-COSTO IVA  CASH-PT-179170037600"",""D"",""0000866944"",""SERVICIOS CENTRALE(S)"",""0.17"",""96,590.29"""
"30/05/2019,""001055"",""46010796-COSTO OPER CASH-PT-179170037600"",""D"",""0000866935"",""SERVICIOS CENTRALE(S)"",""1.43"",""96,590.46"""
"30/05/2019,""001055"",""45879810-COSTO IVA  CASH-CB-179170037600"",""D"",""0000866919"",""SERVICIOS CENTRALE(S)"",""0.16"",""96,591.89"""
"30/05/2019,""001055"",""45879810-COSTO OPER CASH-CB-179170037600"",""D"",""0000866905"",""SERVICIOS CENTRALE(S)"",""1.34"",""96,592.05"""
"30/05/2019,""001055"",""45879810-COSTO IVA  CASH-CB-179170037600"",""D"",""0000866891"",""SERVICIOS CENTRALE(S)"",""4.07"",""96,593.39"""
"30/05/2019,""001055"",""45879810-COSTO OPER CASH-CB-179170037600"",""D"",""0000866855"",""SERVICIOS CENTRALE(S)"",""33.93"",""96,597.46"""
"29/05/2019,""001045"",""45879810-CAPREMCI-CB-"",""C"",""0027388667"",""SERVICIOS CENTRALE(S)"",""199.54"",""96,631.39"""
"29/05/2019,""001055"",""46010805-CAPREMCI-PT-desafiliacion 2"",""D"",""0003298526"",""AG. NORTE"",""1,980.44"",""96,431.85"""
"29/05/2019,""001055"",""46010796-CAPREMCI-PT-creditos gye 28"",""D"",""0003297919"",""AG. NORTE"",""13,502.69"",""98,412.29"""
"29/05/2019,""001055"",""45985941-COSTO IVA  CASH-PT-179170037600"",""D"",""0000793326"",""SERVICIOS CENTRALE(S)"",""0.30"",""111,914.98"""
"29/05/2019,""001055"",""45985941-COSTO OPER CASH-PT-179170037600"",""D"",""0000793309"",""SERVICIOS CENTRALE(S)"",""2.50"",""111,915.28"""
"29/05/2019,""001055"",""45879810-COSTO IVA  CASH-CB-179170037600"",""D"",""0000793301"",""SERVICIOS CENTRALE(S)"",""4.23"",""111,917.78"""
"29/05/2019,""001055"",""45879810-COSTO OPER CASH-CB-179170037600"",""D"",""0000793282"",""SERVICIOS CENTRALE(S)"",""35.27"",""111,922.01"""
"28/05/2019,""001055"",""45985941-CAPREMCI-PT-creditos 270520"",""D"",""0007377154"",""AG. NORTE"",""30,778.85"",""111,957.28"""
"28/05/2019,""001055"",""45965203-COSTO IVA  CASH-PT-179170037600"",""D"",""0000592888"",""SERVICIOS CENTRALE(S)"",""0.04"",""142,736.13"""
"28/05/2019,""001055"",""45965203-COSTO OPER CASH-PT-179170037600"",""D"",""0000592864"",""SERVICIOS CENTRALE(S)"",""0.36"",""142,736.17"""
"28/05/2019,""001055"",""45965072-COSTO IVA  CASH-PT-179170037600"",""D"",""0000592837"",""SERVICIOS CENTRALE(S)"",""0.04"",""142,736.53"""
"28/05/2019,""001055"",""45965072-COSTO OPER CASH-PT-179170037600"",""D"",""0000592828"",""SERVICIOS CENTRALE(S)"",""0.36"",""142,736.57"""
"28/05/2019,""001055"",""45964972-COSTO IVA  CASH-PT-179170037600"",""D"",""0000592809"",""SERVICIOS CENTRALE(S)"",""0.09"",""142,736.93"""
"28/05/2019,""001055"",""45964972-COSTO OPER CASH-PT-179170037600"",""D"",""0000592792"",""SERVICIOS CENTRALE(S)"",""0.71"",""142,737.02"""
"28/05/2019,""001055"",""45959554-COSTO IVA  CASH-PT-179170037600"",""D"",""0000592778"",""SERVICIOS CENTRALE(S)"",""0.04"",""142,737.73"""
"28/05/2019,""001055"",""45959554-COSTO OPER CASH-PT-179170037600"",""D"",""0000592767"",""SERVICIOS CENTRALE(S)"",""0.36"",""142,737.77"""
"28/05/2019,""001055"",""45959521-COSTO IVA  CASH-PT-179170037600"",""D"",""0000592736"",""SERVICIOS CENTRALE(S)"",""0.26"",""142,738.13"""
"28/05/2019,""001055"",""45959521-COSTO OPER CASH-PT-179170037600"",""D"",""0000592723"",""SERVICIOS CENTRALE(S)"",""2.14"",""142,738.39"""
"28/05/2019,""001055"",""45959515-COSTO IVA  CASH-PT-179170037600"",""D"",""0000592648"",""SERVICIOS CENTRALE(S)"",""0.04"",""142,740.53"""
"28/05/2019,""001055"",""45959515-COSTO OPER CASH-PT-179170037600"",""D"",""0000592603"",""SERVICIOS CENTRALE(S)"",""0.36"",""142,740.57"""
